Page,Logged In,Logged Out,In or Out
****************************,****************************,****************************,****************************
/,logout,login,about
,change-password,register,
,change-email,,
,close-account,,
****************************,****************************,****************************,****************************
/login,n/a,/,n/a
,,register,
,,forgot,
****************************,****************************,****************************,****************************
/change-password,/,n/a,n/a
****************************,****************************,****************************,****************************
/change-email,/,n/a,n/a
****************************,****************************,****************************,****************************
/close-account,/,n/a,n/a
****************************,****************************,****************************,****************************
/register,n/a,/,n/a
****************************,****************************,****************************,****************************
/verify,n/a,/,n/a
